Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
 Si8+		109.21	106.13	2.24	2.24	10.95	10.95	2034.15	28.00	8.00		0.00
 Si9+		102.40	121.72	2.12	2.12	12.55	12.55	2157.54	28.00	9.00		0.00
  S5+		152.23	56.48	3.00	3.00	5.86	5.86	1504.27	32.00	5.00		0.00
  S6+		137.74	70.99	2.74	2.74	7.35	7.35	1647.85	32.00	6.00		0.00
  S7+		126.60	85.98	2.55	2.55	8.89	8.89	1779.88	32.00	7.00		0.00
  S8+		117.71	101.37	2.39	2.39	10.47	10.47	1902.77	32.00	8.00		0.00
  S9+		110.40	116.61	2.26	2.26	12.04	12.04	2018.19	32.00	9.00		0.00
 Ca6+		155.98	62.38	3.06	3.06	6.49	6.49	1473.88	40.00	6.00		0.00
 Ca7+		143.43	76.08	2.84	2.84	7.90	7.90	1591.97	40.00	7.00		0.00
 Ca8+		133.43	90.22	2.67	2.67	9.36	9.36	1701.89	40.00	8.00		0.00
 Ca9+		125.22	104.73	2.52	2.52	10.85	10.85	1805.13	40.00	9.00		0.00
Ca10+		118.34	119.56	2.40	2.40	12.38	12.38	1902.77	40.00	10.00		0.00
 Fe5+		207.04	38.29	3.93	3.93	4.04	4.04	1137.12	56.00	5.00		0.00
 Fe6+		187.58	48.76	3.60	3.60	5.13	5.13	1245.66	56.00	6.00		0.00
 Fe7+		172.63	60.00	3.34	3.34	6.29	6.29	1345.46	56.00	7.00		0.00
 Fe8+		160.74	71.64	3.13	3.13	7.50	7.50	1438.36	56.00	8.00		0.00
 Fe9+		150.97	83.86	2.96	2.96	8.76	8.76	1525.61	56.00	9.00		0.00
Fe10+		142.78	96.71	2.82	2.82	10.09	10.09	1608.14	56.00	10.00		0.00
Fe11+		135.31	110.79	2.69	2.69	11.54	11.54	1686.63	56.00	11.00		0.00
Step : 3	Numberions : 52
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
  H1+		53.78	15.87	1.50	1.50	1.63	1.63	3541.92	1.00	1.00		0.00
3He1+		105.90	14.81	2.18	2.18	1.52	1.52	2044.93	3.00	1.00		0.00
3He2+		69.62	30.47	1.54	1.54	3.13	3.13	2891.97	3.00	2.00		0.00
 He1+		126.19	14.59	2.54	2.54	1.50	1.50	1770.96	4.00	1.00		0.00
 He2+		85.27	30.14	1.82	1.82	3.10	3.10	2504.52	4.00	2.00		0.00
  C3+		125.39	39.11	2.52	2.52	4.04	4.04	1770.96	12.00	3.00		0.00
  C4+		106.56	54.08	2.19	2.19	5.58	5.58	2044.93	12.00	4.00		0.00
  C5+		93.84	69.23	1.97	1.97	7.13	7.13	2286.30	12.00	5.00		0.00
  C6+		84.53	84.56	1.80	1.80	8.71	8.71	2504.52	12.00	6.00		0.00
  O4+		124.99	49.92	2.52	2.52	5.16	5.16	1770.96	16.00	4.00		0.00
  O5+		110.31	64.56	2.26	2.26	6.67	6.67	1979.99	16.00	5.00		0.00
  O6+		99.58	79.41	2.07	2.07	8.19	8.19	2168.97	16.00	6.00		0.00
  O7+		91.30	94.55	1.92	1.92	9.75	9.75	2342.76	16.00	7.00		0.00
  O8+		84.68	109.50	1.80	1.80	11.29	11.29	2504.52	16.00	8.00		0.00
  N4+		116.17	52.26	2.36	2.36	5.39	5.39	1893.24	14.00	4.00		0.00
  N5+		102.44	67.13	2.12	2.12	6.92	6.92	2116.70	14.00	5.00		0.00
  N6+		92.38	82.34	1.94	1.94	8.49	8.49	2318.73	14.00	6.00		0.00
  N7+		84.63	97.65	1.80	1.80	10.06	10.06	2504.52	14.00	7.00		0.00
 Ne7+		103.62	88.18	2.14	2.14	9.11	9.11	2095.43	20.00	7.00		0.00
 Ne8+		96.21	102.70	2.01	2.01	10.61	10.61	2240.11	20.00	8.00		0.00
 Mg5+		137.74	55.94	2.74	2.74	5.80	5.80	1616.66	24.00	5.00		0.00
 Mg6+		124.64	69.95	2.51	2.51	7.25	7.25	1770.96	24.00	6.00		0.00
 Mg7+		114.54	84.24	2.33	2.33	8.72	8.72	1912.86	24.00	7.00		0.00
 Mg8+		106.46	98.26	2.19	2.19	10.16	10.16	2044.93	24.00	8.00		0.00
 Mg9+		99.81	112.52	2.07	2.07	11.63	11.63	2168.97	24.00	9.00		0.00
 Si5+		150.28	52.28	2.96	2.96	5.44	5.44	1496.73	28.00	5.00		0.00
 Si6+		136.00	65.61	2.71	2.71	6.81	6.81	1639.59	28.00	6.00		0.00
