 90 354 02 32 30   2.513  -2.264   0.551   3.427
 90 354 02 33 30   2.487  -2.382   0.455   3.474
 90 354 02 34 30   2.450  -2.420   0.446   3.473
 90 354 02 35 30   2.407  -2.440   0.519   3.467
 90 354 02 36 30   2.419  -2.421   0.589   3.473
 90 354 02 37 30   2.401  -2.371   0.760   3.460
 90 354 02 38 30   2.405  -2.329   0.749   3.431
 90 354 02 39 30   2.395  -2.346   0.628   3.413
 90 354 02 40 30   2.393  -2.361   0.499   3.399
 90 354 02 41 30   2.420  -2.296   0.718   3.415
 90 354 02 42 30   2.387  -2.330   0.781   3.427
 90 354 02 43 30   2.152  -2.037   1.039   3.142
 90 354 02 44 30   2.116  -1.842   1.114   3.022
 90 354 02 45 30   2.071  -1.802   1.300   3.038
 90 354 02 46 30   2.029  -1.808   1.252   2.993
 90 354 02 47 30   1.963  -1.795   1.294   2.963
 90 354 02 48 30   2.039  -1.819   0.912   2.893
 90 354 02 49 30   1.969  -1.781   0.805   2.776
 90 354 02 50 30   1.956  -1.767   0.717   2.733
 90 354 02 51 30   1.822  -1.531   1.413   2.773
 90 354 02 52 30   1.795  -1.523   1.385   2.737
 90 354 02 53 30   1.779  -1.461   1.419   2.709
 90 354 02 54 30   1.857  -1.656   1.103   2.723
 90 354 02 55 30   1.904  -1.658   1.046   2.734
 90 354 02 56 30   1.891  -1.667   1.006   2.716
 90 354 02 57 30   1.884  -1.884   0.807   2.789
 90 354 02 58 30   1.999  -1.569   1.094   2.774
 90 354 02 59 30   2.027  -1.619   1.057   2.811
 90 354 03 00 30   2.018  -1.678   1.049   2.827
 90 354 03 01 30   2.059  -1.733   0.923   2.846
 90 354 03 02 30   2.084  -1.849   0.606   2.864
 90 354 03 03 30   1.966  -2.037   0.308   2.849
 90 354 03 04 30   2.001  -2.081   0.117   2.892
 90 354 03 05 30   1.924  -2.174  -0.251   2.930
 90 354 03 06 30   1.873  -2.204   0.008   2.911
 90 354 03 07 30   1.796  -2.302  -0.220   2.930
 90 354 03 08 30   1.831  -2.264  -0.018   2.923
