 91 359 00 00 30  -0.154   1.292   0.010   1.302
 91 359 00 01 30  -0.107   1.279   0.027   1.284
 91 359 00 02 30  -0.131   1.263   0.039   1.273
 91 359 00 03 30  -0.205   1.270   0.126   1.298
 91 359 00 04 30  -0.084   1.314   0.104   1.321
 91 359 00 05 30  -0.151   1.328   0.162   1.353
 91 359 00 06 30  -0.354   1.321   0.277   1.396
 91 359 00 07 30  -0.370   1.321   0.311   1.407
 91 359 00 08 30  -0.430   1.270   0.370   1.392
 91 359 00 09 30  -0.439   1.278   0.347   1.396
 91 359 00 10 30  -0.430   1.291   0.286   1.391
 91 359 00 11 30  -0.430   1.286   0.331   1.396
 91 359 00 12 30  -0.440   1.280   0.291   1.385
 91 359 00 13 30  -0.406   1.276   0.308   1.374
 91 359 00 14 30  -0.408   1.263   0.324   1.367
 91 359 00 15 30  -0.433   1.261   0.308   1.369
 91 359 00 16 30  -0.438   1.260   0.295   1.367
 91 359 00 17 30  -0.447   1.267   0.259   1.369
 91 359 00 18 30  -0.447   1.247   0.257   1.350
 91 359 00 19 30  -0.505   1.222   0.261   1.348
 91 359 00 20 30  -0.432   1.269   0.268   1.368
 91 359 00 21 30  -0.405   1.273   0.311   1.371
 91 359 00 22 30  -0.332   1.310   0.163   1.363
 91 359 00 23 30  -0.407   1.301   0.191   1.378
 91 359 00 24 30  -0.419   1.307   0.228   1.392
 91 359 00 25 30  -0.429   1.301   0.262   1.395
 91 359 00 26 30  -0.457   1.284   0.261   1.388
 91 359 00 27 30  -0.481   1.266   0.261   1.379
 91 359 00 28 30  -0.446   1.266   0.312   1.378
 91 359 00 29 30  -0.429   1.249   0.283   1.351
 91 359 00 30 30  -0.459   1.240   0.298   1.355
 91 359 00 31 30  -0.485   1.227   0.306   1.355
 91 359 00 32 30  -0.463   1.239   0.333   1.364
 91 359 00 33 30  -0.421   1.243   0.349   1.359
 91 359 00 34 30  -0.437   1.240   0.354   1.362
 91 359 00 35 30  -0.437   1.245   0.359   1.368
 91 359 00 36 30  -0.461   1.229   0.363   1.362
 91 359 00 37 30  -0.482   1.218   0.372   1.363
 91 359 00 38 30  -0.460   1.219   0.384   1.359
 91 359 00 39 30  -0.501   1.198   0.388   1.356
 91 359 00 40 30  -0.520   1.203   0.362   1.360
 91 359 00 41 30  -0.460   1.224   0.400   1.369
 91 359 00 42 30  -0.375   1.258   0.400   1.372
 91 359 00 43 30  -0.395   1.223   0.361   1.336
 91 359 00 44 30  -0.367   1.256   0.371   1.361
 91 359 00 45 30  -0.387   1.216   0.388   1.334
 91 359 00 46 30  -0.406   1.205   0.363   1.324
 91 359 00 47 30  -0.393   1.200   0.342   1.309
 91 359 00 48 30  -0.380   1.205   0.340   1.309
 91 359 00 49 30  -0.357   1.221   0.364   1.323
 91 359 00 50 30  -0.363   1.226   0.348   1.326
 91 359 00 51 30  -0.365   1.234   0.339   1.331
 91 359 00 52 30  -0.359   1.228   0.349   1.327
 91 359 00 53 30  -0.468   1.187   0.353   1.324
 91 359 00 54 30  -0.498   1.170   0.371   1.324
 91 359 00 55 30  -0.497   1.173   0.355   1.323
 91 359 00 56 30  -0.506   1.149   0.358   1.306
 91 359 00 57 30  -0.531   1.142   0.362   1.311
 91 359 00 58 30  -0.584   1.133   0.356   1.324
 91 359 00 59 30  -0.574   1.157   0.329   1.333
 91 359 01 00 30  -0.563   1.143   0.365   1.326
 91 359 01 01 30  -0.583   1.139   0.363   1.331
 91 359 01 02 30  -0.606   1.125   0.364   1.330
 91 359 01 03 30  -0.660   1.090   0.387   1.333
 91 359 01 04 30  -0.569   1.121   0.402   1.322
 91 359 01 05 30  -0.555   1.108   0.395   1.303
 91 359 01 06 30  -0.494   1.138   0.405   1.306
 91 359 01 07 30  -0.546   1.112   0.381   1.297
 91 359 01 08 30  -0.573   1.090   0.432   1.306
 91 359 01 09 30  -0.508   1.126   0.408   1.303
 91 359 01 10 30  -0.485   1.120   0.425   1.293
 91 359 01 11 30  -0.484   1.123   0.417   1.292
 91 359 01 12 30  -0.449   1.130   0.430   1.290
 91 359 01 13 30  -0.434   1.125   0.431   1.281
 91 359 01 14 30  -0.432   1.133   0.424   1.285
 91 359 01 15 30  -0.446   1.128   0.428   1.287
 91 359 01 16 30  -0.479   1.107   0.438   1.284
 91 359 01 17 30  -0.474   1.100   0.396   1.261
 91 359 01 18 30  -0.553   1.086   0.401   1.283
 91 359 01 19 30  -0.534   1.117   0.388   1.298
 91 359 01 20 30  -0.504   1.136   0.396   1.306
 91 359 01 21 30  -0.536   1.126   0.390   1.307
 91 359 01 22 30  -0.484   1.159   0.415   1.323
 91 359 01 23 30  -0.393   1.180   0.415   1.311
 91 359 01 24 30  -0.392   1.160   0.429   1.298
 91 359 01 25 30  -0.335   1.146   0.455   1.278
 91 359 01 26 30  -0.440   1.109   0.409   1.262
 91 359 01 27 30  -0.405   1.138   0.460   1.293
 91 359 01 28 30  -0.420   1.110   0.483   1.283
 91 359 01 29 30  -0.416   1.116   0.487   1.287
 91 359 01 30 30  -0.374   1.138   0.526   1.309
 91 359 01 31 30  -0.363   1.147   0.515   1.309
 91 359 01 32 30  -0.298   1.183   0.505   1.321
 91 359 01 33 30  -0.392   1.177   0.495   1.337
 91 359 01 34 30  -0.383   1.142   0.503   1.306
 91 359 01 35 30  -0.400   1.126   0.522   1.304
 91 359 01 36 30  -0.408   1.116   0.563   1.315
 91 359 01 37 30  -0.395   1.127   0.553   1.316
 91 359 01 38 30  -0.376   1.141   0.555   1.323
 91 359 01 39 30  -0.447   1.155   0.546   1.355
 91 359 01 40 30  -0.425   1.175   0.532   1.359
 91 359 01 41 30  -0.414   1.195   0.554   1.382
 91 359 01 42 30  -0.370   1.198   0.550   1.370
 91 359 01 43 30  -0.516   1.149   0.561   1.380
 91 359 01 44 30  -0.513   1.151   0.555   1.378
 91 359 01 45 30  -0.485   1.175   0.533   1.379
 91 359 01 46 30  -0.494   1.170   0.523   1.374
 91 359 01 47 30  -0.389   1.176   0.542   1.356
 91 359 01 48 30  -0.303   1.133   0.611   1.323
 91 359 01 49 30  -0.303   1.085   0.578   1.268
 91 359 01 50 30  -0.272   1.064   0.645   1.275
 91 359 01 51 30  -0.167   1.118   0.636   1.301
 91 359 01 52 30  -0.223   1.167   0.519   1.300
 91 359 01 53 30  -0.315   1.150   0.502   1.300
 91 359 01 54 30  -0.475   1.111   0.374   1.267
 91 359 01 55 30  -0.507   1.028   0.507   1.259
 91 359 01 56 30  -0.601   1.097   0.364   1.303
 91 359 01 57 30  -0.705   1.134   0.373   1.387
 91 359 01 58 30  -0.736   1.135   0.396   1.409
 91 359 01 59 30  -0.744   1.100   0.433   1.397
 91 359 02 00 30  -0.714   1.125   0.427   1.401
 91 359 02 01 30  -0.688   1.105   0.476   1.387
 91 359 02 02 30  -0.677   1.096   0.536   1.396
 91 359 02 03 30  -0.688   1.056   0.598   1.397
 91 359 02 04 30  -0.732   0.973   0.706   1.408
