 91 322 00 00 30  -0.097  -0.904   0.817   1.227
 91 322 00 01 30  -0.085  -0.975   0.744   1.233
 91 322 00 02 30   0.004  -0.847   0.893   1.238
 91 322 00 03 30   0.047  -0.817   0.917   1.233
 91 322 00 04 30  -0.014  -0.854   0.884   1.234
 91 322 00 05 30  -0.014  -0.900   0.838   1.233
 91 322 00 06 30  -0.015  -0.923   0.797   1.228
 91 322 00 07 30   0.005  -0.897   0.842   1.230
 91 322 00 08 30   0.063  -0.872   0.851   1.222
 91 322 00 09 30   0.001  -0.883   0.847   1.225
 91 322 00 10 30  -0.007  -0.869   0.853   1.218
 91 322 00 11 30  -0.004  -0.885   0.836   1.218
 91 322 00 12 30  -0.036  -0.876   0.833   1.210
 91 322 00 13 30  -0.003  -0.879   0.828   1.211
 91 322 00 14 30   0.056  -0.953   0.750   1.216
 91 322 00 15 30  -0.011  -0.822   0.866   1.201
 91 322 00 16 30  -0.036  -0.719   0.934   1.199
 91 322 00 17 30  -0.065  -0.815   0.912   1.228
 91 322 00 18 30  -0.025  -0.749   0.950   1.220
 91 322 00 19 30  -0.033  -0.757   0.938   1.210
 91 322 00 20 30   0.118  -0.686   0.992   1.216
 91 322 00 21 30   0.139  -0.768   0.919   1.209
 91 322 00 22 30   0.188  -0.819   0.887   1.223
 91 322 00 23 30   0.151  -0.834   0.875   1.219
 91 322 00 24 30   0.185  -0.859   0.856   1.228
 91 322 00 25 30   0.143  -0.901   0.827   1.232
 91 322 00 26 30   0.223  -0.964   0.702   1.221
 91 322 00 27 30   0.405  -0.940   0.645   1.213
 91 322 00 28 30   0.510  -0.919   0.590   1.221
 91 322 00 29 30   0.465  -1.029   0.412   1.212
 91 322 00 30 30   0.158  -1.037   0.583   1.207
 91 322 00 31 30   0.093  -1.021   0.628   1.209
 91 322 00 32 30   0.051  -0.977   0.708   1.214
 91 322 00 33 30   0.154  -1.058   0.602   1.238
 91 322 00 34 30   0.012  -0.986   0.758   1.246
 91 322 00 35 30   0.025  -1.018   0.717   1.247
 91 322 00 36 30   0.023  -1.033   0.706   1.252
 91 322 00 37 30  -0.009  -0.998   0.729   1.237
 91 322 00 38 30  -0.004  -1.016   0.704   1.237
 91 322 00 39 30  -0.023  -1.016   0.686   1.227
 91 322 00 40 30  -0.013  -1.007   0.690   1.222
 91 322 00 41 30  -0.003  -1.048   0.628   1.228
 91 322 00 42 30   0.016  -1.025   0.574   1.203
 91 322 00 43 30  -0.076  -0.872   0.856   1.235
 91 322 00 44 30  -0.089  -0.888   0.852   1.236
 91 322 00 45 30  -0.090  -0.861   0.870   1.228
 91 322 00 46 30  -0.102  -0.880   0.851   1.229
 91 322 00 47 30  -0.061  -0.857   0.869   1.222
 91 322 00 48 30  -0.049  -0.880   0.856   1.229
 91 322 00 49 30  -0.104  -0.857   0.882   1.235
 91 322 00 50 30  -0.122  -0.848   0.886   1.233
 91 322 00 51 30  -0.347   0.518   0.249   1.227
 91 322 00 52 30  -0.074  -0.832   0.914   1.239
 91 322 00 59 30  -0.170  -0.764   0.901   1.195
 91 322 01 00 30  -0.309  -0.761   0.866   1.194
 91 322 01 01 30  -0.210  -0.753   0.901   1.194
 91 322 01 02 30  -0.216  -0.737   0.905   1.188
 91 322 01 03 30  -0.221  -0.740   0.906   1.191
 91 322 01 04 30  -0.257  -0.728   0.904   1.189
 91 322 01 05 30  -0.287  -0.721   0.898   1.187
 91 322 01 06 30  -0.270  -0.725   0.904   1.191
 91 322 01 07 30  -0.298  -0.648   0.956   1.196
 91 322 01 08 30  -0.308  -0.629   0.955   1.186
 91 322 01 09 30  -0.273  -0.656   0.948   1.186
 91 322 01 10 30  -0.317  -0.639   0.951   1.189
 91 322 01 11 30  -0.331  -0.643   0.942   1.189
 91 322 01 12 30  -0.380  -0.544   0.978   1.183
 91 322 01 13 30  -0.356  -0.583   0.973   1.190
 91 322 01 14 30  -0.239  -0.613   0.986   1.186
 91 322 01 15 30  -0.259  -0.641   0.961   1.185
 91 322 01 16 30  -0.277  -0.612   0.978   1.187
 91 322 01 17 30  -0.280  -0.680   0.928   1.185
 91 322 01 18 30  -0.301  -0.640   0.941   1.178
 91 322 01 19 30  -0.311  -0.624   0.934   1.168
 91 322 01 20 30  -0.385  -0.579   0.929   1.161
 91 322 01 21 30  -0.390  -0.568   0.928   1.158
 91 322 01 22 30  -0.358  -0.571   0.931   1.150
 91 322 01 23 30  -0.435  -0.587   0.880   1.145
 91 322 01 24 30  -0.356  -0.586   0.933   1.161
 91 322 01 25 30  -0.434  -0.574   0.914   1.164
 91 322 01 26 30  -0.521  -0.525   0.899   1.165
 91 322 01 27 30  -0.486  -0.521   0.923   1.168
 91 322 01 28 30  -0.417  -0.533   0.946   1.165
 91 322 01 29 30  -0.602  -0.391   0.878   1.135
 91 322 01 30 30  -0.612  -0.387   0.858   1.124
 91 322 01 33 30  -0.437  -0.546   0.862   1.111
 91 322 01 34 30  -0.472  -0.498   0.859   1.105
 91 322 01 35 30  -0.549  -0.451   0.851   1.111
 91 322 01 36 30  -0.502  -0.488   0.855   1.106
 91 322 01 37 30  -0.497  -0.476   0.864   1.106
 91 322 01 38 30  -0.460  -0.481   0.889   1.111
 91 322 01 39 30  -0.513  -0.439   0.874   1.105
 91 322 01 40 30  -0.537  -0.425   0.870   1.108
