 91 264 00 00 30   2.267   3.095   2.406   4.530
 91 264 00 01 30   2.268   3.087   2.494   4.573
 91 264 00 02 30   2.222   3.033   2.583   4.565
 91 264 00 03 30   2.239   2.918   2.741   4.588
 91 264 00 04 30   2.244   2.944   2.688   4.582
 91 264 00 05 30   2.391   3.093   2.427   4.604
 91 264 00 06 30   2.136   3.088   2.685   4.619
 91 264 00 07 30   2.117   3.053   2.741   4.620
 91 264 00 08 30   2.405   3.035   2.474   4.596
 91 264 00 09 30   2.392   3.026   2.484   4.588
 91 264 00 10 30   2.450   2.943   2.480   4.564
 91 264 00 11 30   2.449   2.932   2.493   4.564
 91 264 00 12 30   2.516   2.916   2.428   4.553
 91 264 00 13 30   2.497   2.929   2.498   4.590
 91 264 00 14 30   2.671   3.224   2.038   4.665
 91 264 00 15 30   2.788   3.303   2.048   4.783
 91 264 00 16 30   2.813   3.193   2.108   4.750
 91 264 00 17 30   2.740   2.959   2.428   4.713
 91 264 00 18 30   2.671   2.897   2.553   4.697
 91 264 00 19 30   2.608   2.960   2.470   4.655
 91 264 00 20 30   2.646   2.936   2.426   4.638
 91 264 00 21 30   2.596   3.074   2.303   4.637
 91 264 00 22 30   2.703   3.042   2.349   4.699
 91 264 00 23 30   2.677   3.146   2.312   4.735
 91 264 00 24 30   2.771   3.106   2.435   4.828
 91 264 00 25 30   2.862   2.755   2.566   4.730
 91 264 00 26 30   2.967   2.696   2.512   4.732
 91 264 00 27 30   3.006   2.737   2.394   4.718
 91 264 00 28 30   3.029   2.709   2.350   4.695
 91 264 00 29 30   2.794   2.965   2.383   4.725
 91 264 00 30 30   2.678   3.122   2.336   4.732
 91 264 00 31 30   2.807   3.114   2.234   4.751
 91 264 00 32 30   2.780   3.184   2.105   4.723
 91 264 00 33 30   2.678   3.231   1.992   4.647
 91 264 00 34 30   2.699   3.147   1.901   4.562
 91 264 00 35 30   2.688   3.192   1.782   4.538
 91 264 00 36 30   2.659   3.206   1.741   4.515
 91 264 00 37 30   2.441   3.229   1.963   4.502
 91 264 00 38 30   2.346   3.367   1.863   4.507
 91 264 00 39 30   2.453   3.423   1.670   4.531
 91 264 00 40 30   2.477   3.489   1.569   4.558
 91 264 00 41 30   2.412   3.578   1.413   4.542
 91 264 00 42 30   2.487   3.625   1.266   4.576
 91 264 00 43 30   2.354   3.699   0.969   4.492
 91 264 00 44 30   2.427   3.660   1.012   4.508
 91 264 00 45 30   2.467   3.525   1.214   4.472
 91 264 00 46 30   2.507   3.484   1.475   4.539
 91 264 00 47 30   2.459   3.338   1.671   4.472
 91 264 00 48 30   2.439   3.373   1.744   4.514
 91 264 00 49 30   2.353   3.338   1.685   4.419
 91 264 00 50 30   2.338   3.330   1.707   4.413
 91 264 00 51 30   2.363   3.281   1.880   4.462
 91 264 00 52 30   2.371   3.682   1.349   4.584
 91 264 00 53 30   2.408   3.789   1.398   4.703
 91 264 00 54 30   2.335   3.726   1.247   4.573
 91 264 00 55 30   2.101   3.858   0.322   4.431
 91 264 00 56 30   1.996   3.968  -0.022   4.443
 91 264 00 57 30   1.949   4.008  -0.131   4.469
 91 264 00 58 30   2.184   3.929  -0.013   4.500
 91 264 00 59 30   2.479   3.830   0.131   4.569
 91 264 01 00 30   2.461   3.952   0.175   4.660
 91 264 01 01 30   2.435   3.933   0.239   4.633
 91 264 01 02 30   2.579   3.761   0.561   4.599
 91 264 01 03 30   2.643   3.631   0.779   4.560
 91 264 01 04 30   2.495   3.767   0.697   4.575
 91 264 01 05 30   2.389   3.770   0.918   4.557
 91 264 01 06 30   2.406   3.771   0.919   4.567
 91 264 01 07 30   2.442   3.732   0.916   4.554
 91 264 01 08 30   2.453   3.744   0.907   4.567
 91 264 01 09 30   2.455   3.785   0.896   4.600
 91 264 01 10 30   2.438   3.777   0.990   4.604
 91 264 01 11 30   2.455   3.793   0.939   4.616
 91 264 01 12 30   2.730   3.638   0.792   4.620
 91 264 01 13 30   2.859   3.512   0.760   4.595
 91 264 01 14 30   2.817   3.523   0.794   4.581
 91 264 01 15 30   2.799   3.514   0.643   4.538
 91 264 01 16 30   2.784   3.467   0.715   4.505
 91 264 01 17 30   2.879   3.446   0.636   4.536
 91 264 01 18 30   2.874   3.517   0.658   4.590
 91 264 01 19 30   2.785   3.633   0.781   4.645
 91 264 01 20 30   2.899   3.665   0.906   4.764
 91 264 01 21 30   3.224   3.441   0.517   4.750
 91 264 01 22 30   3.377   3.261   0.279   4.705
 91 264 01 23 30   3.550   3.138   0.091   4.739
 91 264 01 24 30   3.668   2.960   0.175   4.718
 91 264 01 25 30   3.448   3.078   0.241   4.635
 91 264 01 26 30   2.969   3.326   0.687   4.519
 91 264 01 27 30   2.728   3.433   0.918   4.482
 91 264 01 28 30   2.735   3.321   0.899   4.397
 91 264 01 29 30   2.737   3.338   0.783   4.388
 91 264 01 30 30   2.751   3.317   0.694   4.366
 91 264 01 31 30   2.778   3.347   0.666   4.401
 91 264 01 32 30   2.834   3.318   0.660   4.414
 91 264 01 33 30   2.893   3.298   0.651   4.438
 91 264 01 34 30   2.915   3.259   0.692   4.429
 91 264 01 35 30   2.885   3.217   0.408   4.343
 91 264 01 36 30   2.808   3.429   0.342   4.448
 91 264 01 37 30   2.722   3.594   0.493   4.536
 91 264 01 38 30   2.716   3.572   0.676   4.540
 91 264 01 39 30   2.729   3.562   0.631   4.532
 91 264 01 40 30   2.646   3.615   0.734   4.540
 91 264 01 41 30   2.536   3.643   0.901   4.531
 91 264 01 42 30   2.441   3.663   1.067   4.531
 91 264 01 43 30   2.373   3.689   0.982   4.497
 91 264 01 44 30   2.445   3.658   0.914   4.495
 91 264 01 45 30   2.482   3.561   0.961   4.447
 91 264 01 46 30   2.450   3.559   0.995   4.435
 91 264 01 47 30   2.603   3.485   0.999   4.465
 91 264 01 48 30   2.240   3.780   0.919   4.500
 91 264 01 49 30   2.721   3.489   0.969   4.531
 91 264 01 50 30   2.629   3.562   0.922   4.523
 91 264 01 51 30   2.560   3.554   0.973   4.488
 91 264 01 52 30   2.489   3.523   0.999   4.429
 91 264 01 53 30   2.398   3.548   1.076   4.419
 91 264 01 54 30   2.385   3.560   1.019   4.405
 91 264 01 55 30   2.495   3.406   0.981   4.336
 91 264 01 56 30   2.464   3.367   0.997   4.290
 91 264 01 57 30   2.435   3.350   0.959   4.251
 91 264 01 58 30   2.422   3.378   0.934   4.261
 91 264 01 59 30   2.355   3.406   0.864   4.230
 91 264 02 00 30   2.300   3.393   0.882   4.194
 91 264 02 01 30   2.309   3.410   0.848   4.205
 91 264 02 02 30   2.248   3.471   0.890   4.231
 91 264 02 03 30   2.293   3.503   0.892   4.281
 91 264 02 04 30   2.170   3.461   1.022   4.214
 91 264 02 05 30   2.304   3.416   0.937   4.227
 91 264 02 06 30   2.380   3.240   0.714   4.102
 91 264 02 07 30   2.329   3.088   0.142   3.873
 91 264 02 08 30   2.401   3.070   0.242   3.914
 91 264 02 09 30   2.339   3.164   0.427   3.960
 91 264 02 10 30   2.458   3.238   0.469   4.093
 91 264 02 11 30   2.431   3.160   0.620   4.036
 91 264 02 12 30   2.447   3.116   0.503   3.999
 91 264 02 13 30   2.220   0.705   2.766   4.121
 91 264 02 14 30   1.912  -0.535   3.717   4.214
 91 264 02 15 30   1.686  -0.563   3.611   4.025
 91 264 02 16 30   1.632  -0.608   3.516   3.924
 91 264 02 17 30   1.622  -0.571   3.473   3.878
 91 264 02 18 30   1.643  -0.584   3.402   3.824
 91 264 02 19 30   1.629  -0.540   3.387   3.798
 91 264 02 20 30   1.594  -0.488   3.416   3.802
 91 264 02 21 30   1.527  -0.514   3.378   3.743
 91 264 02 22 30   1.305  -0.842   3.101   3.479
 91 264 02 23 30   1.255  -0.834   2.955   3.327
 91 264 02 24 30   1.476  -0.381   2.878   3.290
 91 264 02 25 30   1.655  -0.402   2.819   3.306
 91 264 02 26 30   1.954   0.418   2.427   3.367
 91 264 02 27 30   2.237   1.415   2.184   3.446
 91 264 02 28 30   2.019   0.681   2.567   3.371
 91 264 02 29 30   2.108  -0.216   2.500   3.303
 91 264 02 30 30   1.477  -0.447   2.852   3.250
 91 264 02 31 30   1.571   0.257   2.620   3.126
 91 264 02 32 30   1.729  -0.727   2.390   3.073
 91 264 02 33 30   1.440   0.661   2.366   2.950
 91 264 02 34 30   1.774  -0.348   2.284   2.999
 91 264 02 35 30   1.552   0.194   2.329   2.833
 91 264 02 36 30   1.133   0.465   2.512   2.857
 91 264 02 37 30   1.762  -0.305   2.263   2.892
 91 264 02 38 30   1.837  -0.612   1.994   2.785
 91 264 02 39 30   1.847  -0.462   1.954   2.746
 91 264 02 40 30   1.772  -0.188   2.125   2.800
 91 264 02 41 30   1.128  -1.187   2.261   2.820
 91 264 02 42 30   1.423  -0.746   2.136   2.682
 91 264 02 43 30   1.493  -0.141   2.076   2.611
 91 264 02 44 30   1.417   0.042   2.130   2.706
 91 264 02 45 30   1.821   1.758   1.205   2.818
 91 264 02 46 30   1.769   1.550   1.402   2.793
 91 264 02 47 30   1.483   1.809   1.070   2.708
 91 264 02 48 30   1.129   2.298   0.466   2.675
 91 264 02 49 30   1.526   2.029   1.284   2.853
 91 264 02 50 30   1.507   1.892   1.501   2.849
 91 264 02 51 30   1.469   1.542   1.768   2.781
 91 264 02 52 30   1.270   1.178   1.780   2.493
 91 264 02 53 30   1.103   1.262   1.640   2.357
 91 264 02 54 30   1.131   1.933   0.537   2.574
 91 264 02 55 30   0.577   1.651  -2.813   3.316
 91 264 02 56 30   0.549   1.900  -2.637   3.297
 91 264 02 57 30   0.618   2.099  -2.454   3.296
 91 264 02 58 30   0.676   2.254  -2.208   3.228
 91 264 02 59 30   0.751   2.329  -2.099   3.226
 91 264 03 00 30   0.840   2.379  -2.026   3.237
 91 264 03 01 30   0.747   2.277  -2.094   3.185
 91 264 03 02 30   0.708   2.229  -2.132   3.165
 91 264 03 03 30   0.959   2.308  -1.916   3.152
 91 264 03 04 30   0.884   2.349  -1.902   3.150
 91 264 03 05 30   0.758   2.416  -1.912   3.174
 91 264 03 06 30   0.640   2.488  -1.809   3.144
 91 264 03 07 30   0.510   2.549  -1.740   3.130
 91 264 03 08 30   0.564   2.602  -1.683   3.155
 91 264 03 09 30   0.401   2.561  -1.864   3.195
 91 264 03 10 30   0.320   2.506  -1.942   3.193
 91 264 03 11 30   0.634   2.490  -1.209   2.868
 91 264 03 12 30   0.573   2.736  -1.649   3.246
 91 264 03 16 30   0.229   2.694  -2.011   3.371
 91 264 03 17 30   0.614   2.783  -1.841   3.409
 91 264 03 18 30   0.361   2.804  -1.906   3.418
 91 264 03 20 30   0.867   2.647  -1.468   3.149
 91 264 03 21 30   0.728   2.657  -1.475   3.127
 91 264 03 22 30   0.476   2.859  -1.862   3.449
 91 264 03 23 30  -0.834   1.633  -2.761   3.381
 91 264 03 24 30  -1.280   1.280  -3.010   3.515
 91 264 03 25 30  -0.939   1.835  -2.876   3.542
 91 264 03 26 30  -0.888   1.951  -2.849   3.571
 91 264 03 27 30  -0.753   2.089  -2.854   3.619
 91 264 03 28 30  -0.742   2.189  -2.808   3.641
 91 264 03 29 30  -0.975   2.084  -2.741   3.581
 91 264 03 30 30  -0.880   2.142  -2.723   3.576
 91 264 03 31 30  -0.833   2.232  -2.700   3.605
 91 264 03 32 30  -0.765   2.287  -2.801   3.697
 91 264 03 33 30  -0.713   2.465  -2.708   3.733
 91 264 03 34 30  -0.744   2.304  -2.696   3.628
 91 264 03 35 30  -0.468   2.507  -2.576   3.631
 91 264 03 36 30  -0.643   2.391  -2.645   3.627
 91 264 03 37 30  -0.605   2.512  -2.559   3.638
 91 264 03 38 30  -0.610   2.543  -2.603   3.692
 91 264 03 39 30  -0.655   2.601  -2.631   3.761
 91 264 03 40 30  -0.723   2.743  -2.581   3.843
 91 264 03 41 30  -0.799   2.587  -2.829   3.919
 91 264 03 42 30  -0.824   2.586  -2.870   3.954
 91 264 03 43 30  -0.833   2.656  -2.895   4.017
 91 264 03 44 30  -0.574   2.942  -2.211   3.939
 91 264 03 45 30   0.683   3.505   0.443   3.602
 91 264 03 46 30   0.731   3.465   0.682   3.607
