 91 107 00 00 30   0.507  -0.105   0.869   1.014
 91 107 00 01 30   0.522  -0.088   0.831   0.986
 91 107 00 02 30   0.514  -0.114   0.817   0.973
 91 107 00 03 30   0.513  -0.257   0.853   1.029
 91 107 00 04 30   0.527  -0.254   0.866   1.045
 91 107 00 05 30   0.522  -0.246   0.868   1.042
 91 107 00 06 30   0.530  -0.235   0.885   1.058
 91 107 00 07 30   0.534  -0.179   0.909   1.070
 91 107 00 08 30   0.527  -0.197   0.843   1.016
 91 107 00 09 30   0.417  -0.283   0.532   0.782
 91 107 00 10 30   0.434  -0.056   0.596   0.739
 91 107 00 15 30   0.367  -0.001   0.547   0.661
 91 107 00 16 30   0.260   0.103   0.499   0.576
 91 107 00 17 30   0.104   0.301   0.463   0.578
 91 107 00 18 30   0.110   0.146   0.234   0.348
 91 107 00 19 30  -0.108   0.430   0.175   0.494
 91 107 00 20 30  -0.088   0.545   0.173   0.591
 91 107 00 21 30  -0.199   0.535  -0.113   0.585
 91 107 00 22 30  -0.277   0.403  -0.268   0.565
 91 107 00 23 30   0.021   0.423  -0.032   0.497
 91 107 00 24 30   0.017   0.785  -0.213   0.814
 91 107 00 25 30   0.085   0.714  -0.042   0.723
 91 107 00 26 30   0.111   0.730   0.067   0.743
 91 107 00 27 30   0.151   0.802   0.114   0.824
 91 107 00 28 30   0.176   0.725   0.107   0.755
 91 107 00 29 30   0.204   0.722   0.101   0.758
 91 107 00 30 30   0.160   0.765   0.122   0.797
 91 107 00 31 30   0.149   0.786   0.139   0.813
 91 107 00 32 30   0.073   0.619   0.248   0.673
 91 107 00 33 30   0.130   0.541   0.204   0.594
 91 107 00 34 30   0.137   0.628   0.172   0.666
 91 107 00 35 30   0.086   0.598   0.165   0.626
 91 107 00 36 30   0.095   0.559   0.212   0.606
 91 107 00 37 30   0.085   0.554   0.233   0.608
 91 107 00 38 30   0.124   0.559   0.210   0.611
 91 107 00 39 30   0.125   0.574   0.239   0.637
 91 107 00 40 30   0.125   0.581   0.265   0.652
 91 107 00 41 30   0.148   0.486   0.094   0.520
 91 107 00 42 30   0.135   0.537   0.129   0.571
 91 107 00 43 30   0.096   0.578   0.152   0.606
 91 107 00 44 30   0.092   0.563   0.207   0.608
 91 107 00 45 30   0.058   0.570   0.227   0.620
 91 107 00 46 30   0.109   0.584   0.180   0.621
 91 107 00 47 30   0.149   0.553   0.194   0.611
 91 107 00 48 30   0.088   0.461   0.289   0.558
 91 107 00 49 30   0.025   0.561   0.217   0.606
 91 107 00 50 30   0.111   0.601   0.353   0.709
 91 107 00 51 30   0.144   0.591   0.438   0.751
 91 107 00 52 30   0.225   0.583   0.379   0.736
 91 107 00 53 30   0.226   0.539   0.553   0.806
 91 107 00 54 30   0.293   0.579   0.511   0.826
 91 107 00 55 30   0.285   0.611   0.537   0.862
 91 107 00 56 30   0.273   0.597   0.518   0.837
 91 107 00 57 30   0.265   0.570   0.484   0.794
 91 107 00 58 30   0.202   0.608   0.370   0.741
 91 107 00 59 30   0.089   0.701   0.233   0.752
 91 107 01 00 30  -0.012   0.878   0.250   0.913
 91 107 01 01 30   0.011   0.867   0.287   0.913
 91 107 01 02 30   0.037   0.869   0.310   0.924
 91 107 01 03 30   0.057   0.868   0.327   0.930
 91 107 01 04 30   0.101   0.844   0.383   0.933
 91 107 01 05 30   0.117   0.845   0.393   0.940
 91 107 01 06 30   0.230   0.767   0.532   0.971
 91 107 01 07 30   0.294   0.718   0.652   1.014
 91 107 01 08 30   0.277   0.730   0.678   1.034
 91 107 01 09 30   0.293   0.723   0.674   1.032
 91 107 01 10 30   0.289   0.752   0.680   1.055
 91 107 01 11 30   0.273   0.746   0.604   0.999
 91 107 01 12 30   0.275   0.737   0.611   0.998
 91 107 01 13 30   0.265   0.626   0.706   0.981
 91 107 01 14 30   0.249   0.690   0.554   0.921
 91 107 01 15 30   0.257   0.689   0.595   0.946
 91 107 01 16 30   0.267   0.663   0.608   0.939
 91 107 01 17 30   0.299   0.603   0.669   0.950
 91 107 01 18 30   0.255   0.788   0.475   0.967
 91 107 01 19 30   0.185   0.916   0.180   0.954
 91 107 01 20 30   0.199   0.914   0.184   0.954
 91 107 01 21 30   0.190   0.904   0.236   0.954
 91 107 01 22 30   0.197   0.882   0.255   0.939
 91 107 01 23 30   0.213   0.859   0.299   0.935
 91 107 01 24 30   0.240   0.853   0.302   0.937
 91 107 01 25 30   0.245   0.903   0.291   0.981
 91 107 01 26 30   0.246   0.919   0.424   1.043
 91 107 01 27 30   0.272   0.947   0.481   1.097
 91 107 01 28 30   0.286   0.891   0.489   1.057
 91 107 01 29 30   0.274   0.853   0.578   1.066
 91 107 01 30 30   0.284   0.843   0.587   1.066
 91 107 01 31 30   0.286   0.845   0.595   1.072
 91 107 01 32 30   0.293   0.890   0.586   1.105
 91 107 01 33 30   0.305   0.922   0.539   1.111
 91 107 01 34 30   0.318   0.941   0.539   1.131
 91 107 01 35 30   0.326   0.897   0.606   1.132
 91 107 01 36 30   0.316   0.877   0.620   1.120
 91 107 01 37 30   0.295   0.897   0.597   1.117
 91 107 01 38 30   0.272   0.912   0.580   1.115
 91 107 01 39 30   0.277   0.912   0.569   1.110
 91 107 01 40 30   0.260   0.921   0.562   1.110
 91 107 01 41 30   0.306   0.886   0.608   1.118
 91 107 01 42 30   0.306   0.878   0.596   1.105
 91 107 01 43 30   0.291   0.888   0.599   1.110
 91 107 01 44 30   0.291   0.899   0.584   1.111
 91 107 01 45 30   0.295   0.908   0.591   1.123
 91 107 01 46 30   0.310   0.862   0.632   1.113
 91 107 01 47 30   0.304   0.827   0.621   1.078
 91 107 01 48 30   0.320   0.831   0.622   1.087
 91 107 01 49 30   0.304   0.843   0.616   1.088
 91 107 01 50 30   0.308   0.845   0.623   1.094
 91 107 01 51 30   0.301   0.852   0.621   1.096
 91 107 01 52 30   0.330   0.835   0.627   1.095
 91 107 01 53 30   0.342   0.837   0.618   1.095
 91 107 01 54 30   0.342   0.832   0.609   1.087
 91 107 01 55 30   0.326   0.798   0.642   1.076
 91 107 01 56 30   0.344   0.812   0.621   1.084
 91 107 01 57 30   0.358   0.857   0.634   1.126
 91 107 01 58 30   0.332   0.832   0.690   1.131
 91 107 01 59 30   0.314   0.826   0.701   1.128
 91 107 02 00 30   0.345   0.837   0.677   1.131
 91 107 02 01 30   0.334   0.780   0.750   1.134
 91 107 02 02 30   0.337   0.757   0.763   1.126
 91 107 02 03 30   0.337   0.745   0.792   1.139
 91 107 02 04 30   0.361   0.682   0.832   1.135
 91 107 02 05 30   0.356   0.760   0.746   1.128
 91 107 02 06 30   0.354   0.853   0.684   1.150
