 SWICS EFFICIENCIES FOR MG

 incident ion: Z=12, M= 23.985 amu
 carbon foil thickness= 2.5 microg/squarecm
 detector threshold= 40.0 keV, electronic FWHM= 12.0 keV
 electrons needed to trigger MCPs: TH1=1.10, TH2=1.10
 constants for sec. electrons: CONST1=0.667, CONST2=0.294

     ETOT    EPERM    EFOIL    ETOTF    EMEAS    FWHMT    PROB1   PROBSE    PROB2   PROBST    PROBT    PROB3    P3/P1    P2*P3
    [keV]  [keV/u]    [keV]    [keV]    [keV]    [keV]

   43.768    1.825    3.032   40.736   12.005   13.745  0.49868  0.34240  0.09430  0.21991  0.00000  0.00000  0.00000  0.00000
   39.391    1.642    2.914   36.477   10.207   13.420  0.48355  0.30393  0.07958  0.19425  0.00000  0.00000  0.00000  0.00000
   35.452    1.478    2.802   32.650    8.734   13.152  0.46859  0.27845  0.06927  0.17723  0.00000  0.00000  0.00000  0.00000
   31.907    1.330    2.693   29.214    7.464   12.933  0.45380  0.25411  0.06002  0.16121  0.00000  0.00000  0.00000  0.00000
   28.716    1.197    2.589   26.127    6.360   12.753  0.43921  0.22958  0.05145  0.14524  0.00000  0.00000  0.00000  0.00000
   25.844    1.078    2.488   23.356    5.412   12.501  0.42481  0.20532  0.04362  0.12958  0.00000  0.00000  0.00000  0.00000
   23.260    0.970    2.392   20.868    4.616   12.402  0.41063  0.18182  0.03660  0.11450  0.00000  0.00000  0.00000  0.00000
   20.934    0.873    2.299   18.635    3.926   12.321  0.39668  0.15951  0.03041  0.10025  0.00000  0.00000  0.00000  0.00000
   18.841    0.786    2.210   16.630    3.327   12.257  0.38295  0.13875  0.02502  0.08705  0.00000  0.00000  0.00000  0.00000
   16.957    0.707    2.125   14.832    2.804   12.204  0.36945  0.11976  0.02042  0.07501  0.00000  0.00000  0.00000  0.00000
   15.261    0.636    2.042   13.219    2.353   12.163  0.35620  0.10266  0.01654  0.06422  0.00000  0.00000  0.00000  0.00000
   13.735    0.573    1.963   11.772    1.964   12.129  0.34318  0.08726  0.01327  0.05452  0.00000  0.00000  0.00000  0.00000
   12.361    0.515    1.887   10.474    1.630   12.102  0.33042  0.07285  0.01045  0.04547  0.00000  0.00000  0.00000  0.00000
