O    4.00  -0.001  -2.510  99.999  99.999  99.999  99.999  99.999  99.999  99.999
O    4.10  -0.043  -1.028  99.999  99.999  99.999  99.999  99.999  99.999  99.999
O    4.20  -0.436  -0.198  99.999  99.999  99.999  99.999  99.999  99.999  99.999
O    4.30  -1.189  -0.029  99.999  99.999  99.999  99.999  99.999  99.999  99.999
O    4.40  -1.723  -0.008  -3.627  99.999  99.999  99.999  99.999  99.999  99.999
O    4.50  -2.004  -0.007  -2.279  99.999  99.999  99.999  99.999  99.999  99.999
O    4.60  -2.210  -0.023  -1.352  99.999  99.999  99.999  99.999  99.999  99.999
O    4.70  -2.458  -0.097  -0.707  -3.678  99.999  99.999  99.999  99.999  99.999
O    4.80  -2.835  -0.296  -0.313  -2.245  99.999  99.999  99.999  99.999  99.999
O    4.90  -3.365  -0.640  -0.147  -1.246  -4.300  99.999  99.999  99.999  99.999
O    5.00  -4.037  -1.118  -0.177  -0.592  -2.677  99.999  99.999  99.999  99.999
O    5.10  -4.864  -1.746  -0.406  -0.252  -1.530  -4.612  99.999  99.999  99.999
O    5.20  99.999  -2.507  -0.809  -0.174  -0.771  -2.807  99.999  99.999  99.999
O    5.30  99.999  -3.397  -1.373  -0.326  -0.344  -1.521  -2.667  99.999  99.999
O    5.40  99.999  -4.474  -2.152  -0.747  -0.268  -0.734  -1.048  99.999  99.999
O    5.50  99.999  99.999  -3.382  -1.661  -0.750  -0.621  -0.251  99.999  99.999
O    5.60  99.999  99.999  99.999  -2.916  -1.626  -0.993  -0.059  99.999  99.999
O    5.70  99.999  99.999  99.999  -4.113  -2.488  -1.423  -0.018  99.999  99.999
O    5.80  99.999  99.999  99.999  99.999  -3.244  -1.804  -0.007  -4.447  99.999
O    5.90  99.999  99.999  99.999  99.999  -3.887  -2.119  -0.004  -3.116  99.999
O    6.00  99.999  99.999  99.999  99.999  -4.406  -2.350  -0.006  -2.057  99.999
O    6.10  99.999  99.999  99.999  99.999  -4.805  -2.493  -0.027  -1.248  -3.534
O    6.20  99.999  99.999  99.999  99.999  99.999  -2.612  -0.105  -0.688  -2.140
O    6.30  99.999  99.999  99.999  99.999  99.999  -2.808  -0.291  -0.382  -1.146
O    6.40  99.999  99.999  99.999  99.999  99.999  -3.165  -0.634  -0.330  -0.524
O    6.50  99.999  99.999  99.999  99.999  99.999  -3.696  -1.133  -0.497  -0.216
O    6.60  99.999  99.999  99.999  99.999  99.999  -4.312  -1.697  -0.773  -0.091
O    6.70  99.999  99.999  99.999  99.999  99.999  99.999  -2.247  -1.066  -0.042
O    6.80  99.999  99.999  99.999  99.999  99.999  99.999  -2.756  -1.340  -0.021
O    6.90  99.999  99.999  99.999  99.999  99.999  99.999  -3.219  -1.587  -0.012
O    7.00  99.999  99.999  99.999  99.999  99.999  99.999  -3.643  -1.808  -0.007
O    7.10  99.999  99.999  99.999  99.999  99.999  99.999  -4.032  -2.007  -0.004
O    7.20  99.999  99.999  99.999  99.999  99.999  99.999  -4.391  -2.186  -0.003
O    7.30  99.999  99.999  99.999  99.999  99.999  99.999  -4.726  -2.350  -0.002
O    7.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -2.502  -0.001
O    7.50  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -2.643  -0.001
O    7.60  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -2.776  -0.001
O    7.70  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -2.908  -0.001
