N    4.00  -0.001  -2.807  99.999  99.999  99.999  99.999  99.999  99.999
N    4.10  -0.026  -1.231  99.999  99.999  99.999  99.999  99.999  99.999
N    4.20  -0.344  -0.262  99.999  99.999  99.999  99.999  99.999  99.999
N    4.30  -1.129  -0.034  -4.257  99.999  99.999  99.999  99.999  99.999
N    4.40  -1.787  -0.008  -2.717  99.999  99.999  99.999  99.999  99.999
N    4.50  -2.100  -0.014  -1.617  99.999  99.999  99.999  99.999  99.999
N    4.60  -2.279  -0.068  -0.854  -4.318  99.999  99.999  99.999  99.999
N    4.70  -2.542  -0.236  -0.382  -2.780  99.999  99.999  99.999  99.999
N    4.80  -2.958  -0.545  -0.159  -1.686  99.999  99.999  99.999  99.999
N    4.90  -3.499  -0.957  -0.115  -0.914  -4.065  99.999  99.999  99.999
N    5.00  -4.170  -1.480  -0.235  -0.418  -2.508  99.999  99.999  99.999
N    5.10  99.999  -2.133  -0.529  -0.184  -1.394  -2.732  99.999  99.999
N    5.20  99.999  -2.941  -1.011  -0.211  -0.685  -1.100  99.999  99.999
N    5.30  99.999  -4.170  -1.943  -0.744  -0.596  -0.256  99.999  99.999
N    5.40  99.999  99.999  -3.246  -1.695  -1.018  -0.054  99.999  99.999
N    5.50  99.999  99.999  -4.494  -2.628  -1.496  -0.015  99.999  99.999
N    5.60  99.999  99.999  99.999  -3.445  -1.918  -0.005  99.999  99.999
N    5.70  99.999  99.999  99.999  -4.146  -2.275  -0.002  -3.800  99.999
N    5.80  99.999  99.999  99.999  -4.730  -2.555  -0.002  -2.542  99.999
N    5.90  99.999  99.999  99.999  99.999  -2.738  -0.013  -1.546  -4.442
N    6.00  99.999  99.999  99.999  99.999  -2.855  -0.072  -0.824  -2.733
N    6.10  99.999  99.999  99.999  99.999  -3.012  -0.237  -0.411  -1.511
N    6.20  99.999  99.999  99.999  99.999  -3.293  -0.536  -0.286  -0.720
N    6.30  99.999  99.999  99.999  99.999  -3.745  -0.989  -0.412  -0.293
N    6.40  99.999  99.999  99.999  99.999  -4.324  -1.545  -0.696  -0.114
N    6.50  99.999  99.999  99.999  99.999  99.999  -2.110  -1.021  -0.047
N    6.60  99.999  99.999  99.999  99.999  99.999  -2.637  -1.329  -0.022
N    6.70  99.999  99.999  99.999  99.999  99.999  -3.120  -1.606  -0.011
N    6.80  99.999  99.999  99.999  99.999  99.999  -3.560  -1.852  -0.006
N    6.90  99.999  99.999  99.999  99.999  99.999  -3.963  -2.071  -0.004
N    7.00  99.999  99.999  99.999  99.999  99.999  -4.337  -2.267  -0.002
N    7.10  99.999  99.999  99.999  99.999  99.999  -4.684  -2.445  -0.002
N    7.20  99.999  99.999  99.999  99.999  99.999  99.999  -2.607  -0.001
N    7.30  99.999  99.999  99.999  99.999  99.999  99.999  -2.756  -0.001
N    7.40  99.999  99.999  99.999  99.999  99.999  99.999  -2.896  -0.001
N    7.50  99.999  99.999  99.999  99.999  99.999  99.999  -3.030   0.000
