C    4.00  -0.018  -1.396  99.999  99.999  99.999  99.999  99.999
C    4.10  -0.212  -0.414  99.999  99.999  99.999  99.999  99.999
C    4.20  -0.736  -0.088  -4.494  99.999  99.999  99.999  99.999
C    4.30  -1.252  -0.026  -2.824  99.999  99.999  99.999  99.999
C    4.40  -1.639  -0.020  -1.664  99.999  99.999  99.999  99.999
C    4.50  -1.974  -0.068  -0.875  99.999  99.999  99.999  99.999
C    4.60  -2.379  -0.233  -0.386  -4.640  99.999  99.999  99.999
C    4.70  -2.906  -0.540  -0.149  -3.042  99.999  99.999  99.999
C    4.80  -3.499  -0.917  -0.063  -1.850  -4.308  99.999  99.999
C    4.90  -4.130  -1.335  -0.076  -0.965  -2.243  99.999  99.999
C    5.00  99.999  -1.932  -0.315  -0.468  -0.786  99.999  99.999
C    5.10  99.999  -3.025  -1.087  -0.633  -0.165  99.999  99.999
C    5.20  99.999  -4.344  -2.116  -1.152  -0.035  99.999  99.999
C    5.30  99.999  99.999  -3.064  -1.664  -0.010  99.999  99.999
C    5.40  99.999  99.999  -3.884  -2.107  -0.003  99.999  99.999
C    5.50  99.999  99.999  -4.590  -2.483  -0.001  99.999  99.999
C    5.60  99.999  99.999  99.999  -2.794  -0.001  -3.929  99.999
C    5.70  99.999  99.999  99.999  -3.023  -0.001  -2.761  99.999
C    5.80  99.999  99.999  99.999  -3.148  -0.007  -1.803  -4.081
C    5.90  99.999  99.999  99.999  -3.210  -0.044  -1.039  -2.395
C    6.00  99.999  99.999  99.999  -3.353  -0.202  -0.528  -1.127
C    6.10  99.999  99.999  99.999  -3.797  -0.658  -0.422  -0.396
C    6.20  99.999  99.999  99.999  -4.534  -1.386  -0.674  -0.127
C    6.30  99.999  99.999  99.999  99.999  -2.150  -1.030  -0.046
C    6.40  99.999  99.999  99.999  99.999  -2.846  -1.374  -0.019
C    6.50  99.999  99.999  99.999  99.999  -3.463  -1.682  -0.009
C    6.60  99.999  99.999  99.999  99.999  -4.007  -1.952  -0.005
C    6.70  99.999  99.999  99.999  99.999  -4.493  -2.191  -0.003
C    6.80  99.999  99.999  99.999  99.999  99.999  -2.403  -0.002
C    6.90  99.999  99.999  99.999  99.999  99.999  -2.593  -0.001
C    7.00  99.999  99.999  99.999  99.999  99.999  -2.766  -0.001
C    7.10  99.999  99.999  99.999  99.999  99.999  -2.924  -0.001
