Mg   4.00  -0.835  -0.069  -3.755  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   4.10  -1.330  -0.025  -2.032  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   4.20  -1.857  -0.094  -0.744  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   4.30  -2.743  -0.584  -0.132  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   4.40  -3.875  -1.368  -0.019  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   4.50  99.999  -2.087  -0.004  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   4.60  99.999  -2.689  -0.001  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   4.70  99.999  -3.188   0.000  -4.765  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   4.80  99.999  -3.589  -0.001  -3.029  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   4.90  99.999  -3.863  -0.008  -1.745  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   5.00  99.999  -3.993  -0.062  -0.878  -3.715  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   5.10  99.999  -4.119  -0.245  -0.372  -2.177  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   5.20  99.999  -4.390  -0.599  -0.171  -1.131  -3.673  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   5.30  99.999  -4.862  -1.129  -0.229  -0.486  -2.087  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Mg   5.40  99.999  99.999  -1.861  -0.548  -0.215  -1.032  -3.472  99.999  99.999  99.999  99.999  99.999  99.999
Mg   5.50  99.999  99.999  -2.784  -1.103  -0.269  -0.428  -2.075  -4.361  99.999  99.999  99.999  99.999  99.999
Mg   5.60  99.999  99.999  -3.860  -1.846  -0.584  -0.184  -1.167  -2.641  99.999  99.999  99.999  99.999  99.999
Mg   5.70  99.999  99.999  99.999  -2.706  -1.073  -0.198  -0.619  -1.426  -2.958  99.999  99.999  99.999  99.999
Mg   5.80  99.999  99.999  99.999  -3.706  -1.748  -0.465  -0.409  -0.662  -1.515  -2.966  -4.329  99.999  99.999
Mg   5.90  99.999  99.999  99.999  99.999  -2.705  -1.071  -0.602  -0.390  -0.673  -1.447  -2.092  99.999  99.999
Mg   6.00  99.999  99.999  99.999  99.999  -4.047  -2.107  -1.279  -0.671  -0.471  -0.686  -0.740  99.999  99.999
Mg   6.10  99.999  99.999  99.999  99.999  99.999  -3.603  -2.458  -1.506  -0.893  -0.650  -0.212  99.999  99.999
Mg   6.20  99.999  99.999  99.999  99.999  99.999  99.999  -3.764  -2.510  -1.539  -0.918  -0.072  99.999  99.999
Mg   6.30  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.431  -2.147  -1.212  -0.031  -3.611  99.999
Mg   6.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.218  -2.657  -1.454  -0.018  -2.572  99.999
Mg   6.50  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.875  -3.066  -1.628  -0.019  -1.750  -4.309
Mg   6.60  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.408  -1.760  -0.043  -1.118  -2.917
Mg   6.70  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.749  -1.908  -0.120  -0.669  -1.842
Mg   6.80  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.159  -2.139  -0.286  -0.410  -1.061
Mg   6.90  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.683  -2.496  -0.574  -0.344  -0.557
Mg   7.00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -2.972  -0.969  -0.437  -0.279
Mg   7.10  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.509  -1.415  -0.618  -0.143
Mg   7.20  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.054  -1.862  -0.827  -0.077
Mg   7.30  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.592  -2.287  -1.034  -0.045
Mg   7.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -2.682  -1.230  -0.027
Mg   7.50  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.048  -1.410  -0.018
Mg   7.60  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.389  -1.577  -0.012
Mg   7.70  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.707  -1.731  -0.008
Mg   7.80  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.006  -1.875  -0.006
Mg   7.90  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.289  -2.010  -0.004
Mg   8.00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.570  -2.142  -0.003
