Si   4.00  -1.024  -0.043  -4.192  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   4.10  -1.829  -0.008  -2.539  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   4.20  -2.463  -0.020  -1.391  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   4.30  -2.951  -0.102  -0.680  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   4.40  -3.400  -0.303  -0.299  -4.702  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   4.50  -3.866  -0.599  -0.126  -3.285  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   4.60  -4.339  -0.928  -0.058  -2.194  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   4.70  -4.812  -1.265  -0.047  -1.336  -2.824  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   4.80  99.999  -1.671  -0.142  -0.724  -1.160  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   4.90  99.999  -2.488  -0.681  -0.665  -0.243  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   5.00  99.999  -3.752  -1.692  -1.165  -0.040  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   5.10  99.999  99.999  -2.672  -1.705  -0.010  -3.505  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   5.20  99.999  99.999  -3.491  -2.138  -0.007  -2.036  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   5.30  99.999  99.999  -4.155  -2.457  -0.054  -0.945  -4.125  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   5.40  99.999  99.999  -4.823  -2.812  -0.285  -0.322  -2.453  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   5.50  99.999  99.999  99.999  -3.297  -0.716  -0.116  -1.388  -3.800  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   5.60  99.999  99.999  99.999  -3.857  -1.231  -0.133  -0.700  -2.230  99.999  99.999  99.999  99.999  99.999  99.999  99.999
Si   5.70  99.999  99.999  99.999  -4.543  -1.855  -0.349  -0.333  -1.132  -3.096  99.999  99.999  99.999  99.999  99.999  99.999
Si   5.80  99.999  99.999  99.999  99.999  -2.657  -0.803  -0.301  -0.493  -1.729  -3.509  99.999  99.999  99.999  99.999  99.999
Si   5.90  99.999  99.999  99.999  99.999  -3.639  -1.479  -0.566  -0.255  -0.890  -2.000  -3.591  99.999  99.999  99.999  99.999
Si   6.00  99.999  99.999  99.999  99.999  -4.767  -2.333  -1.067  -0.334  -0.468  -1.024  -1.961  -3.350  -4.675  99.999  99.999
Si   6.10  99.999  99.999  99.999  99.999  99.999  -3.395  -1.820  -0.731  -0.442  -0.532  -0.923  -1.707  -2.376  99.999  99.999
Si   6.20  99.999  99.999  99.999  99.999  99.999  -4.792  -2.942  -1.545  -0.892  -0.585  -0.516  -0.799  -0.926  99.999  99.999
Si   6.30  99.999  99.999  99.999  99.999  99.999  99.999  -4.504  -2.837  -1.867  -1.214  -0.753  -0.620  -0.295  99.999  99.999
Si   6.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.299  -3.047  -2.089  -1.289  -0.805  -0.106  -4.447  99.999
Si   6.50  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.157  -2.928  -1.832  -1.048  -0.049  -3.268  99.999
Si   6.60  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.656  -2.297  -1.254  -0.029  -2.342  99.999
Si   6.70  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.276  -2.682  -1.409  -0.029  -1.614  -3.917
Si   6.80  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.830  -3.022  -1.543  -0.055  -1.055  -2.690
Si   6.90  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.371  -1.703  -0.130  -0.658  -1.738
Si   7.00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.783  -1.938  -0.283  -0.424  -1.041
Si   7.10  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.292  -2.281  -0.539  -0.354  -0.579
Si   7.20  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.891  -2.723  -0.887  -0.420  -0.312
Si   7.30  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.221  -1.283  -0.566  -0.170
Si   7.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.735  -1.686  -0.744  -0.098
Si   7.50  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.240  -2.074  -0.926  -0.059
Si   7.60  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -4.725  -2.440  -1.102  -0.038
Si   7.70  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -2.783  -1.267  -0.025
Si   7.80  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.103  -1.421  -0.017
Si   7.90  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.405  -1.566  -0.012
Si   8.00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  -3.690  -1.702  -0.009
