Result of the manual clicking for He2+ in Ech vs. Tch
Tch   ECH_max
251   34 
252   36 
253   35 
254   34 
255   33 
256   34 
257   34 
258   35 
259   34 
260   32 
261   32 
262   33 
263   32 
264   32 
265   43 
266   32 
267   31 
268   32 
269   32 
270   40 
271   31 
272   31 
273   31 
274   28 
275   31 
276   30 
277   51 
278   29 
279   29 
280   30 
281   28 
282   29 
283   28 
284   28 
285   39 
286   30 
287   28 
288   41 
289   41 
290   28 
291   28 
292   47 
293   34 
294   36 
295   45 
296   45 
297   45 
298   36 
299   42 
300   45 
301   43 
302   44 
303   44 
304   43 
305   42 
306   42 
307   42 
308   216 
309   128 
310   41 
311   213 
312   145 
313   40 
314   211 
315   146 
316   50 
317   39 
318   84 
319   49 
320   38 
321   37 
322   37 
323   37 
324   37 
325   128 
326   36 
327   36 
328   35 
329   35 
330   35 
331   40 
332   34 
333   34 
334   34 
335   33 
336   33 
337   33 
338   31 
339   32 
340   30 
341   32 
342   32 
343   31 
344   31 
345   128 
346   31 
347   26 
348   20 
349   23 
350   20 
351   20 
