Mass;Q;Ebeam;Paps;FSR;"FSR b";DCR;"DCR b";TCR;"TCR b";MSS;"MSS b";Etot;"TCR/FSR corr";"TCR/DCR corr";"DCR/FSR corr";;FSRoB;DCRoB;TCRoB;;F-TF;F-TD;F-DF;;F-TF-mB;F-TD-mB;F-DF-mB;;"Relative Abweichungen";;;;1%Fehler;;;;"1%Fehler mB";;
20;3;18;24;1460;341,8;439,3;22,11;361;0,009;927,1;135,9;126;0,322832230370238;0,86529159375824;0,373090681452334;;1118,2;417,19;360,991;;0,0195425433152234;0,0621996103220445;0,0214041047109828;;0,0209500515768385;0,063711251714708;0,0238663457884938;;1,07202277814672;1,02430306853752;1,11503592935833;;0,00456553718560746;0,0122370710730033;0,00527629901704911;;0,0316949470583539;0,023272599403164;0,127492013885875
20;3;18;23,1;1582;288,6;509;18,44;421,3;0;1065;134,1;123,3;0,325730632441627;0,85881441617743;0,379279418586671;;1293,4;490,56;421,3;;0,0182721864680761;0,0570455290754605;0,0201112626500602;;0,0192478817280605;0,0580277985007971;0,0218206929000916;;1,05339783838618;1,01721904312671;1,0849986537283;;0,00460652678079314;0,0121454699491965;0,00536382097694252;;0,0272522507529186;0,0200556996886291;0,106771160441765
20;3;18;22,05;1555;228,2;508,8;12,86;415,6;0;1043;135,3;120,15;0,313234850768767;0,838004597330322;0,373786554115164;;1326,8;495,94;415,6;;0,0176077355271941;0,0557290870356386;0,0196729159598653;;0,0183158367514863;0,0563840983460817;0,0209250270320433;;1,04021534871413;1,01175349077627;1,06364644035142;;0,00442980974165103;0,0118511746687555;0,0052861401426237;;0,0234993229601231;0,017064981608306;0,074337710801144
20;3;18;18,6;1367;118,9;443,7;5,106;347,6;0;927;135,9;109,8;0,278503325054082;0,792532501584609;0,351409342200144;;1248,1;438,594;347,6;;0,0168904582180594;0,056912900191539;0,0195063233156706;;0,0172374064962509;0,0572050902810137;0,0201470462613291;;1,02054108146223;1,00513398699577;1,03284693559569;;0,00393863179457486;0,0112081021236243;0,00496967857684052;;0,0165716707346555;0,0125118489996928;0,0317578708720539
20;3;18;15,9;1320;48,97;412,6;1,533;292,7;0;810,8;136,2;101,7;0,230285673823592;0,71204937394634;0,32341250796598;;1271,03;411,067;292,7;;0,0149299565341516;0,0544573984510955;0,0183505093333216;;0,0150372408438307;0,054541798722307;0,0185736399430567;;1,00718584206415;1,00154984030843;1,01215936875005;;0,0032567312314155;0,0100698988171418;0,00457374355006586;;0,00971821388714309;0,00881106650301326;0,0136166806294074
20;3;18;15,15;1299;37,16;403,5;1,099;272,8;0;769,3;134,3;99,45;0,216192227223737;0,677930720848109;0,318900177518544;;1261,84;402,401;272,8;;0,0144350736619512;0,0531679780261139;0,0182570749602977;;0,0145104432189352;0,0532266135302064;0,0184241171701564;;1,00522127969341;1,00110283494444;1,0091494508415;;0,00305741979819454;0,00958738819772765;0,00450992956089913;;0,00828370818082578;0,00804520957610306;0,0113750175299955
20;3;18;14,4;1277;24,02;385,4;0,425;249,7;0;728,9;136,4;97,2;0,199284904786988;0,648613546334178;0,307247521907772;;1252,98;384,975;249,7;;0,0138110378656351;0,0527031017408437;0,0179040399637202;;0,0138549634082813;0,0527259875064139;0,0179995747086234;;1,00318046645542;1,00043423944349;1,00533593228661;;0,00281831415125989;0,00917278073964704;0,00434513612487496;;0,00650604984834001;0,00702306036581324;0,00849255846629517
20;3;18;11,1;1222;7,52;338,4;0,119;166,8;0;552,2;135,8;87,3;0,137342731045386;0,493081195810584;0,278539786575324;;1214,48;338,281;166,8;;0,0113410517992079;0,0466511259727556;0,0171240134096891;;0,0113495286171278;0,0466565452488349;0,0171518020613076;;1,00074744548124;1,00011616602957;1,00162278847567;;0,00194231952937745;0,00697322114466471;0,00393914743835331;;0,00322706190759176;0,00510534709678765;0,00503207246611536
20;3;18;9,3;1237;2,919;327,1;0,01;127,9;0;464,5;137,2;81,9;0,103639874530116;0,391023877220337;0,265047432056729;;1234,081;327,09;127,9;;0,00962731757098742;0,0407788803960796;0,0164832699856299;;0,00962945576444988;0,0407792308531754;0,0164918347703072;;1,00022209649227;1,00000859408332;1,00051960470737;;0,00146568916163136;0,00552991270376712;0,00374833673086788;;0,00187899635578636;0,00392561440331529;0,0036508791911496
20;3;18;0;1163,5;1,02;198,5;0;8,697;0;167,7;141,5;54;0,0074814190351662;0,0438136020151133;0,170755625903241;;1162,48;198,5;8,697;;0,00254634806491809;0,0151787392301829;0,0131137799675326;;0,00254636465612464;0,0151787392301829;0,0131154580896284;;1,00000651568683;1;1,00012796631482;;0,000105803242653283;0,000619617901861905;0,0024148492200387;;0,000266929836613114;0,000438136020151133;0,00210217412850069
20;3;18;10,2;1241;2,25;336,8;0;149,8;0;518,4;140,5;84,6;0,120928355196771;0,444774346793349;0,271886982845611;;1238,75;336,8;149,8;;0,0104607101065508;0,0436801211994791;0,0167080834297733;;0,0104627597001867;0,0436801211994791;0,0167145694916937;;1,00019593255286;1;1,00038819903837;;0,00171018519994744;0,00629005913430789;0,00384506258572963;;0,00191420024202531;0,00444774346793349;0,00351532967461644
