 SWICS EFFICIENCIES FOR KR

 incident ion: Z=36, M= 83.920 amu
 carbon foil thickness= 2.5 microg/squarecm
 detector threshold= 40.0 keV, electronic FWHM= 12.0 keV
 electrons needed to trigger MCPs: TH1=1.10, TH2=1.10
 constants for sec. electrons: CONST1=0.800, CONST2=0.282

     ETOT    EPERM    EFOIL    ETOTF    EMEAS    FWHMT    PROB1   PROBSE    PROB2   PROBST    PROBT    PROB3    P3/P1    P2*P3
    [keV]  [keV/u]    [keV]    [keV]    [keV]    [keV]

  153.137    1.825    6.400  146.737   37.191   20.629  0.84421  0.54871  0.27949  0.37003  0.37424  0.13848  0.16404  0.03870
  137.823    1.642    6.152  131.671   32.092   19.316  0.83169  0.50148  0.24544  0.33296  0.16752  0.05578  0.06706  0.01369
  124.041    1.478    5.914  118.127   27.576   18.176  0.81870  0.46448  0.21822  0.30428  0.05375  0.01635  0.01998  0.00357
  111.637    1.330    5.685  105.952   23.602   17.191  0.80528  0.43347  0.19530  0.28096  0.01234  0.00347  0.00431  0.00068
  100.473    1.197    5.465   95.009   20.146   16.344  0.79145  0.40144  0.17330  0.25823  0.00212  0.00055  0.00069  0.00009
   90.426    1.078    5.253   85.173   17.146   15.621  0.77724  0.36864  0.15233  0.23585  0.00029  0.00007  0.00009  0.00001
   81.383    0.970    5.049   76.334   14.488   16.586  0.76266  0.33534  0.13252  0.21367  0.00015  0.00003  0.00004  0.00000
   73.245    0.873    4.854   68.391   12.183   15.787  0.74776  0.30195  0.11402  0.19175  0.00002  0.00000  0.00000  0.00000
   65.921    0.786    4.666   61.255   10.195   15.114  0.73255  0.26901  0.09698  0.17034  0.00000  0.00000  0.00000  0.00000
   59.328    0.707    4.485   54.843    8.656   14.549  0.71707  0.23715  0.08155  0.14978  0.00000  0.00000  0.00000  0.00000
   53.396    0.636    4.311   49.084    7.416   14.079  0.70134  0.20695  0.06783  0.13039  0.00000  0.00000  0.00000  0.00000
   48.056    0.573    4.144   43.912    6.337   13.689  0.68540  0.17890  0.05584  0.11248  0.00000  0.00000  0.00000  0.00000
   43.250    0.515    3.984   39.267    5.400   13.368  0.66927  0.15191  0.04511  0.09533  0.00000  0.00000  0.00000  0.00000
